id_vaga,job_role,inf_titulo_vaga,inf_cliente,inf_vaga_sap,perfil_nivel_academico,perfil_nivel profissional,perfil_nivel_ingles,perfil_nivel_espanhol,perfil_competencia_tecnicas_e_comportamentais,perfil_principais_atividades,Resumo_ia,resumo
6180,Engenheiro/Analista de Dados,Data & AI - 12139806,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact.","Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact.",SIM,"A vaga 6180 busca um profissional com Ensino Superior Completo para atuar como Analista, com foco principal em Oracle Financial Consolidation and Close (FCCS). Embora o título geral seja Engenheiro/Analista de Dados, a função exige forte competência técnica e comportamental específica em FCCS. O candidato ideal será responsável por liderar o design, a construção e a configuração de aplicações FCCS, atuando como o ponto de contato principal para essas atividades. Níveis básicos de inglês e espanhol são requeridos para a posição."
6132,Engenheiro/Analista de Dados,Engenheiro De Dados - 12127585,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Engenharia de Dados: SQL, Bancos Relacionais (Teradata, Oracle, SQL Server), Ecossistema Hadoop (Hive, Sqoop, Scala, Spark), Python, ETL","Descrição/Comentário: Engenharia de Dados: SQL, Bancos Relacionais (Teradata, Oracle, SQL Server), Ecossistema Hadoop (Hive, Sqoop, Scala, Spark), Python, ETL",SIM,"Esta vaga para Engenheiro/Analista de Dados (Id_Vaga: 6132) busca um profissional com Ensino Superior Completo e nível Analista. As principais atividades e competências técnicas exigem forte atuação em Engenharia de Dados, incluindo proficiência em SQL, bancos de dados relacionais como Teradata, Oracle e SQL Server, e experiência no ecossistema Hadoop (Hive, Sqoop, Scala, Spark). Conhecimento em Python e processos ETL é fundamental. Requer-se ainda nível básico de inglês e espanhol."
6126,Engenheiro/Analista de Dados,Banco De Dados - 12128657,Nelson-Page,Não,Ensino Superior Completo,Analista,Avançado,Básico,"Descrição/Comentário: Technology Service Design - Experiência em administração Banco de Dados Oracle, Oracle RAC, Oracle Golden Gate, Shell Scripts, Performance and Tunning em nível Senior;
 Conhecimento em Banco de Dados SQL Server, Mongo DB e DB2;
 Conhecimento em Sistema Operacional Windows, Linux, AIX e Solaris;
 Experiência em Tratamento de incidentes, solicitações de serviços e execução de mudanças de infraestrutura;
 Sistema de monitoramento Zabbix;
 Conhecimento na aplicação de ITIL;
 Experiência de 4 a 5 anos;
 Flexibilidade para trabalhar em turno (finais de semana e fora do horário comercial);
 Inglê Avançado;","Descrição/Comentário: Technology Service Design - Experiência em administração Banco de Dados Oracle, Oracle RAC, Oracle Golden Gate, Shell Scripts, Performance and Tunning em nível Senior;
 Conhecimento em Banco de Dados SQL Server, Mongo DB e DB2;
 Conhecimento em Sistema Operacional Windows, Linux, AIX e Solaris;
 Experiência em Tratamento de incidentes, solicitações de serviços e execução de mudanças de infraestrutura;
 Sistema de monitoramento Zabbix;
 Conhecimento na aplicação de ITIL;
 Experiência de 4 a 5 anos;
 Flexibilidade para trabalhar em turno (finais de semana e fora do horário comercial);
 Inglê Avançado;",SIM,"A vaga 6126 busca um Engenheiro/Analista de Dados com Ensino Superior completo e nível Analista. É exigido Inglês Avançado e experiência de 4 a 5 anos em Technology Service Design. O profissional deve ter experiência sênior em administração de Banco de Dados Oracle (RAC, Golden Gate), Shell Scripts, Performance e Tunning. Conhecimento em SQL Server, Mongo DB, DB2, sistemas operacionais (Windows, Linux, AIX, Solaris), Zabbix e ITIL é desejável. As atividades incluem tratamento de incidentes, solicitações de serviços e mudanças de infraestrutura. É fundamental ter flexibilidade para trabalhar em turnos (finais de semana e fora do horário comercial)."
5151,Desenvolvedor,Desenvolvedor ABAP - 11896888,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 Outros detalhes do trabalho: 1 - Build Management (P2 - Intermediate) | 2 - Design & Build Enablement (P2 - Intermediate). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Descrição/Comentário: Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 Outros detalhes do trabalho: 1 - Build Management (P2 - Intermediate) | 2 - Design & Build Enablement (P2 - Intermediate). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
5143,Desenvolvedor,Salesforce / Desenvolvedor Júnior - 11901576,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Configuration & Release Management - Desenvolvimento.
 Desenvolvimento Salesforce utilizando Apex, Classes, LWC, Triggers, Tests, integração de sistemas (RESP, SOAP),Conhecimento nos módulos Salesforce Sales e lightning experience, conhecimento em lógica de programação e orientação à objetos,Conhecimento em Java, Javascript, familiaridade com Git.
 Outros detalhes do trabalho: 1 - Build Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário comercial
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Descrição/Comentário: Configuration & Release Management - Desenvolvimento.
 Desenvolvimento Salesforce utilizando Apex, Classes, LWC, Triggers, Tests, integração de sistemas (RESP, SOAP),Conhecimento nos módulos Salesforce Sales e lightning experience, conhecimento em lógica de programação e orientação à objetos,Conhecimento em Java, Javascript, familiaridade com Git.
 Outros detalhes do trabalho: 1 - Build Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner). -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário comercial
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
5072,Desenvolvedor,Desenvolvedor JDEdwards - 11884248,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"JDE E1 Interfaces - Desenvolvedor JDEdwards E1 (conhecer modelo de dados do JDE / extrair dados via Procedure/SQL)
 Outros detalhes do trabalho: 1 - JDE E1 Development/RICEFW (P3 - Advanced) | 2 - JDE E1 Procurement (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","JDE E1 Interfaces - Desenvolvedor JDEdwards E1 (conhecer modelo de dados do JDE / extrair dados via Procedure/SQL)
 Outros detalhes do trabalho: 1 - JDE E1 Development/RICEFW (P3 - Advanced) | 2 - JDE E1 Procurement (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
5067,Desenvolvedor,Salesforce Developer- 11865694,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Salesforce Developer com experiência em APEX, Lightning Component, LWC e DevOps
 
 Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 
 Outros detalhes do trabalho: 1 - Build Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner) -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Salesforce Developer com experiência em APEX, Lightning Component, LWC e DevOps
 
 Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 
 Outros detalhes do trabalho: 1 - Build Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner) -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
5065,Desenvolvedor,Developer C#,Morrison Ltd,Não,Ensino Técnico Completo,Pleno,Nenhum,Nenhum,"Desejável
 
 • Angular
 • .Net Core
 • MVC","Desenvolvedor • C#
 
 • WCF
 • API
 • Asp.Net WCF
 • VB6
 • Javascript
 • Oracle
 • Html",,
5059,Desenvolvedor,Desenvolvedor front-end Pleno/Sênior,King-Russell,Não,Ensino Superior Completo,Pleno,Básico,Nenhum,"Segue abaixo mais uma oportunidade para subcontratação ou hunting. São 2 perfis plenos e 2 perfis seniors, totalizando 4 posições no total.
 
 Desenvolvedor front-end Sênior
 Conhecimentos: Mobile Flutter e trabalho com metodologia ágil;
 Idioma: inglês técnico (capacidade de ler e escrever documentos de requisitos)
 
 
 Devido à urgência, nosso Rh também está atuando nas posições. Se tivermos agilidade é possível que o total de posições seja maior.","Segue abaixo mais uma oportunidade para subcontratação ou hunting. São 2 perfis plenos e 2 perfis seniors, totalizando 4 posições no total.
 
 Desenvolvedor front-end Sênior
 Conhecimentos: Mobile Flutter e trabalho com metodologia ágil;
 Idioma: inglês técnico (capacidade de ler e escrever documentos de requisitos)
 
 Devido à urgência, nosso Rh também está atuando nas posições. Se tivermos agilidade é possível que o total de posições seja maior.",,
5045,Desenvolvedor,Desenvolvedor Web - MSC (subst),Miller-Curry,Não,Ensino Superior Completo,Especialista,Avançado,Nenhum,"Os skills que buscamos nessa vaga são:
 
 Requeridos:
 - Python
 - Node.js
 - Gastby
 - React
 - Ingles avançado
 
 Diferencial:
 - Carbon
 - django/wagtail",Desenvolvedor Web,,
5044,Desenvolvedor,Desenvolvedores Back End Node Js - PL/SR,"Williams, Kelley and Goodman",Não,Ensino Superior Completo,Pleno,Nenhum,Nenhum,"Desenvolvedores Back End
 Atividade: desenvolvimento Noje Js
 Profissionais nível Pleno e sênior","Desenvolvedores Back End
 Atividade: desenvolvimento Noje Js
 Profissionais nível Pleno e sênior",,
5043,Desenvolvedor,Desenvolvedores Front End React,"Williams, Kelley and Goodman",Não,Ensino Superior Completo,Pleno,Nenhum,Nenhum,"Atividade: Desenvolvimento react
 
 Profissionais nível Pleno e sênior","Atividade: Desenvolvimento react
 
 Profissionais nível Pleno e sênior",,
5033,Desenvolvedor,Desenvolvedor Node - 11867778,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Desenvolvedor Node capaz de criar APIs em Node com experiência em Micro Serviços, Mongo, Git, etc
 Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Desenvolvedor Node capaz de criar APIs em Node com experiência em Micro Serviços, Mongo, Git, etc
 Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
5032,Desenvolvedor,Desenvolvedor Java/React - PL,"Morris, Moran and Dodson",Não,Ensino Superior Cursando,Sênior,Nenhum,Nenhum,Conhecimento de front-end (javascript e ReactJS),"Descrição da vaga:
 o Conhecimento em Maven, JPA, Hibernate, EJB
 o Conhecimentos na área de desenvolvimento de serviços web cliente e servidor (SOAP, REST, XML etc.)
 o Conhecimento com bancos de dados relacionais (Oracle e DB2)
 o Experiência com alguma ferramenta de versionamento (git, svn, etc..)
 o Conhecimento de front-end (javascript e ReactJS)",,
5016,Desenvolvedor,2021-2630380-Analista programador mainframe-Bradesco,Barnes-Woods,Não,Ensino Médio Completo,Sênior,Nenhum,Nenhum,"Job description:
 · Cobol
 · CICS
 · IMS
 · JCL
 · Control-m
 · Experiência acima de 6 anos
 · Changeman
 · Hexavision
 · Desejável: Conhecimento do ambiente de instituição financiera","Job description:
 · Cobol
 · CICS
 · IMS
 · JCL
 · Control-m
 · Experiência acima de 6 anos
 · Changeman
 · Hexavision
 · Desejável: Conhecimento do ambiente de instituição financeira",,
5013,Desenvolvedor,Front End Desenvolvedor React - 11840667,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Multiplatform Front End Development React - Atuação no atendimento N2 de chamados abertos pelos usuários e monitorações para o sistemas da família Digital, investigando causa raiz direcionando as devidas correções para a equipe N3. Identificando oportunidades de automação no atendimento de tickets bem como criação de proativos que mantenham o bom funcionamento do sistema.
 Outros detalhes do trabalho: 1 - MongoDB (P3 - Advanced) | 2 - Node.js (P3 - Advanced) | 3 - Redis (P3 - Advanced) | 4 - Robotics Process Automation (RPA) (P3 - Advanced) | 5 - Vignette Portal (P3 - Advanced)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Multiplatform Front End Development React - Atuação no atendimento N2 de chamados abertos pelos usuários e monitorações para o sistemas da família Digital, investigando causa raiz direcionando as devidas correções para a equipe N3. Identificando oportunidades de automação no atendimento de tickets bem como criação de proativos que mantenham o bom funcionamento do sistema.
 Outros detalhes do trabalho: 1 - MongoDB (P3 - Advanced) | 2 - Node.js (P3 - Advanced) | 3 - Redis (P3 - Advanced) | 4 - Robotics Process Automation (RPA) (P3 - Advanced) | 5 - Vignette Portal (P3 - Advanced)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
5008,Desenvolvedor,Desenvolvedor C#,Craig-Webb,Não,Ensino Superior Completo,Sênior,Fluente,Nenhum,"Experiência + 5 anos em desenvolvimento C#
 
 (C++ desejável)","Experiência + 5 anos em desenvolvimento C#
 
 (C++ desejável)
 
 Idioma inglês avançado",,
5002,Desenvolvedor,Programador ABAP - 11847385,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Programador ABAP - desejável conhecimento em Fiori / SCP / CPI
 
 Precisa morar em São Paulo e ter disponibilidade para atuar dentro do cliente
 Outros detalhes do trabalho: 1 - SAP Cloud Platform (P2 - Intermediate)
 Primary Skill SAP ABAP Development","Programador ABAP - desejável conhecimento em Fiori / SCP / CPI
 
 Precisa morar em São Paulo e ter disponibilidade para atuar dentro do cliente - Natura
 Outros detalhes do trabalho: 1 - SAP Cloud Platform (P2 - Intermediate)
 Primary Skill SAP ABAP Development",,
4995,Desenvolvedor,Desenvolvedor Java / Oracle OSM - 11845446,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 o Experiência em Oracle SOA
 o Desenvolvimento em Java
 o Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P3 - Advanced) | 2 - Design & Build Enablement (P3 - Advanced)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 o Experiência em Oracle SOA
 o Desenvolvimento em Java
 o Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P3 - Advanced) | 2 - Design & Build Enablement (P3 - Advanced)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
4991,Desenvolvedor,Application Developer - 11845585,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"React Native - Atuação no atendimento N2 de chamados abertos pelos usuários e monitorações para o sistemas da família Digital, investigando causa raiz direcionando as devidas correções para a equipe N3. Identificando oportunidades de automação no atendimento de tickets bem como criação de proativos que mantenham o bom funcionamento do sistema.
 Outros detalhes do trabalho: 1 - Elastic Stack (ELK) (P2 - Intermediate) | 2 - Node.js (P2 - Intermediate) | 3 - Oracle Commerce Cloud (P2 - Intermediate) | 4 - RabbitMQ (P2 - Intermediate) | 5 - Redis (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","React Native - Atuação no atendimento N2 de chamados abertos pelos usuários e monitorações para o sistemas da família Digital, investigando causa raiz direcionando as devidas correções para a equipe N3. Identificando oportunidades de automação no atendimento de tickets bem como criação de proativos que mantenham o bom funcionamento do sistema.
 Outros detalhes do trabalho: 1 - Elastic Stack (ELK) (P2 - Intermediate) | 2 - Node.js (P2 - Intermediate) | 3 - Oracle Commerce Cloud (P2 - Intermediate) | 4 - RabbitMQ (P2 - Intermediate) | 5 - Redis (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
4989,Desenvolvedor,Application Developer - Oracle OSM - 11845486,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 Experiência em Oracle OSM
 Desenvolvimento em Java
 Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P2 - Intermediate) | 2 - Design & Build Enablement (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 Experiência em Oracle OSM
 Desenvolvimento em Java
 Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P2 - Intermediate) | 2 - Design & Build Enablement (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
4988,Desenvolvedor,Application Developer - 11847913,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 Desenvolvedor
 o Experiência das linguagens C e Java (web services)
 o Principal C
 
 Conhecimento Desejável:
 o BRM
 o Sistemas de faturamento
 o Telecom
 o Cloud
 Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 Desenvolvedor
 o Experiência das linguagens C e Java (web services)
 o Principal C
 
 Conhecimento Desejável:
 o BRM
 o Sistemas de faturamento
 o Telecom
 o Cloud
 Outros detalhes do trabalho: 1 - Build Management (P4 - Expert) | 2 - Design & Build Enablement (P4 - Expert)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
4987,Desenvolvedor,Application Developer - Oracle OSM -11845495,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 Experiência em Oracle OSM
 Desenvolvimento em Java
 Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 Experiência em Oracle OSM
 Desenvolvimento em Java
 Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P1 - Beginner) | 2 - Design & Build Enablement (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
4985,Desenvolvedor,Application Developer - Oracle SOA - 11845453,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 o Experiência em Oracle SOA
 o Desenvolvimento em Java
 o Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P2 - Intermediate) | 2 - Design & Build Enablement (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 o Experiência em Oracle SOA
 o Desenvolvimento em Java
 o Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P2 - Intermediate) | 2 - Design & Build Enablement (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
4983,Desenvolvedor,Application Developer - Oracle SOA - 11845423,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 o Experiência em Oracle SOA
 o Desenvolvimento em Java
 o Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P5 - Master) | 2 - Design & Build Enablement (P5 - Master)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Configuration & Release Management - Design, build and configure applications to meet business process and application requirements.
 
 o Experiência em Oracle SOA
 o Desenvolvimento em Java
 o Conhecimento Desejável: Telecom
 Outros detalhes do trabalho: 1 - Build Management (P5 - Master) | 2 - Design & Build Enablement (P5 - Master)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,
